model,SV_def,SV_others,VS_def,VS_others,chi2,p,dof,or,ci_low,ci_hi,V,n,ha_correction,p_holm
marian:o2m:seq,0,67,0,41,0.059716547169326444,0.806944511337454,1,0.6148148148148148,0.011968770087885734,31.58196320425333,0.023299736083040326,110,True,1.0
marian:o2o:seq,0,67,0,41,0.059716547169326444,0.806944511337454,1,0.6148148148148148,0.011968770087885734,31.58196320425333,0.023299736083040326,110,True,1.0
mbart:m2m:seq,0,67,0,41,0.059716547169326444,0.806944511337454,1,0.6148148148148148,0.011968770087885734,31.58196320425333,0.023299736083040326,110,True,1.0
mbart:m2o:seq,0,67,0,41,0.059716547169326444,0.806944511337454,1,0.6148148148148148,0.011968770087885734,31.58196320425333,0.023299736083040326,110,True,1.0
mbart:o2m:seq,0,67,0,41,0.059716547169326444,0.806944511337454,1,0.6148148148148148,0.011968770087885734,31.58196320425333,0.023299736083040326,110,True,1.0
mt5:m2m:seq,0,67,0,41,0.059716547169326444,0.806944511337454,1,0.6148148148148148,0.011968770087885734,31.58196320425333,0.023299736083040326,110,True,1.0
mt5:o2o:seq,0,67,0,41,0.059716547169326444,0.806944511337454,1,0.6148148148148148,0.011968770087885734,31.58196320425333,0.023299736083040326,110,True,1.0
